Model: gan_vae | Dataset: degradation | Device: cuda
Output: /home/ze.qian/workspace/aug_diagnosis/outputs/data_aug/degradation/gan_vae/gan_vae_degradation_5feat_netd_v6_20260528_144417

=== Training ===

--- VAE-GAN class: normal (29 windows) ---
Epoch [170/250] | D_loss: 0.271586 | G_loss: 4.687178 | Recon: 0.108879 | MeanMatch: 0.050673 | RandMeanMatch: 2.697045 | KL: 494.407150
Epoch [180/250] | D_loss: 0.401298 | G_loss: 4.268446 | Recon: 0.092845 | MeanMatch: 0.042809 | RandMeanMatch: 2.714067 | KL: 430.935516
Epoch [190/250] | D_loss: 0.352321 | G_loss: 4.325967 | Recon: 0.078806 | MeanMatch: 0.033592 | RandMeanMatch: 2.683392 | KL: 520.553741
Epoch [200/250] | D_loss: 0.361084 | G_loss: 4.275401 | Recon: 0.084293 | MeanMatch: 0.030424 | RandMeanMatch: 2.562513 | KL: 563.039246
Epoch [210/250] | D_loss: 0.331651 | G_loss: 4.273576 | Recon: 0.084550 | MeanMatch: 0.020232 | RandMeanMatch: 2.609560 | KL: 510.100128
Epoch [220/250] | D_loss: 0.381439 | G_loss: 4.251290 | Recon: 0.069510 | MeanMatch: 0.013952 | RandMeanMatch: 2.614924 | KL: 470.254150
Epoch [230/250] | D_loss: 0.548292 | G_loss: 4.013552 | Recon: 0.062294 | MeanMatch: 0.012821 | RandMeanMatch: 2.586416 | KL: 441.449982
Epoch [240/250] | D_loss: 0.654660 | G_loss: 3.517987 | Recon: 0.074165 | MeanMatch: 0.037782 | RandMeanMatch: 2.468727 | KL: 361.385971
Epoch [250/250] | D_loss: 0.631102 | G_loss: 3.651247 | Recon: 0.077114 | MeanMatch: 0.065471 | RandMeanMatch: 2.507838 | KL: 340.086609

--- VAE-GAN class: coupled_severe_fault (55 windows) ---
Epoch [ 10/250] | D_loss: 0.501803 | G_loss: 4.503204 | Recon: 0.405898 | MeanMatch: 1.439289 | RandMeanMatch: 1.680271 | KL: 36.183938
Epoch [ 20/250] | D_loss: 0.130424 | G_loss: 4.579258 | Recon: 0.267384 | MeanMatch: 0.487441 | RandMeanMatch: 1.574652 | KL: 187.330332
Epoch [ 30/250] | D_loss: 0.055160 | G_loss: 4.847505 | Recon: 0.184474 | MeanMatch: 0.049695 | RandMeanMatch: 1.476369 | KL: 329.702637
Epoch [ 40/250] | D_loss: 0.126494 | G_loss: 4.857345 | Recon: 0.209495 | MeanMatch: 0.367379 | RandMeanMatch: 1.467880 | KL: 643.814677
Epoch [ 50/250] | D_loss: 0.170555 | G_loss: 4.386154 | Recon: 0.189399 | MeanMatch: 0.317072 | RandMeanMatch: 1.447201 | KL: 793.111145
Epoch [ 60/250] | D_loss: 0.376197 | G_loss: 3.604105 | Recon: 0.152264 | MeanMatch: 0.249077 | RandMeanMatch: 1.473446 | KL: 939.229818
Epoch [ 70/250] | D_loss: 0.194086 | G_loss: 3.923243 | Recon: 0.132200 | MeanMatch: 0.177412 | RandMeanMatch: 1.484840 | KL: 936.650533
